Size-Vector Network.nodeTx.queue (#0 - General-0-20240511-20:31:18-88690),
109.750545605663,3
109.766940714446,2
109.866940714446,1
109.966940714446,0
110.105641469559,1
110.105641469559,0
110.639032291428,1
110.639032291428,0
110.735454214939,1
110.739032291428,0
111.322415155296,1
111.322415155296,0
111.443324752168,1
111.443324752168,0
111.70278727104,1
111.70278727104,0
111.924662753161,1
111.924662753161,0
112.022806010208,1
112.024662753161,0
112.467341844417,1
112.467341844417,0
112.650683762709,1
112.650683762709,0
112.898559835933,1
112.898559835933,0
112.898573673907,1
112.998559835933,0
113.413778984127,1
113.413778984127,0
113.507219807581,1
113.513778984127,0
113.587113471299,1
113.613778984127,0
113.725656178561,1
113.725656178561,0
114.125586039021,1
114.125586039021,0
114.66702695924,1
114.66702695924,0
114.718363901424,1
114.76702695924,0
115.003128314092,1
115.003128314092,0
115.76642448149,1
115.76642448149,0
115.918685634667,1
115.918685634667,0
116.209463955523,1
116.209463955523,0
116.37458972546,1
116.37458972546,0
116.435269348878,1
116.47458972546,0
116.82393508333,1
116.82393508333,0
117.560055152686,1
117.560055152686,0
117.62521518503,1
117.660055152686,0
117.953342183271,1
117.953342183271,0
118.484028846756,1
118.484028846756,0
118.557266711378,1
118.584028846756,0
118.651374049258,1
118.684028846756,0
118.711354929117,1
118.784028846756,0
119.500628814471,1
119.500628814471,0
119.683185730781,1
119.683185730781,0
119.842732882179,1
119.842732882179,0
119.849232318477,1
119.942732882179,0
120.160070012964,1
120.160070012964,0
120.21820126756,1
120.259919927868,2
120.260070012964,1
120.360070012964,0
120.398129520531,1
120.460070012964,0
120.725872612571,1
120.725872612571,0
120.843041731565,1
120.843041731565,0
121.10284314071,1
121.10284314071,0
121.258550468151,1
121.258550468151,0
121.319030379344,1
121.358550468151,0
121.400334383838,1
121.451923882239,2
121.458550468151,1
121.558550468151,0
121.672870296247,1
121.672870296247,0
122.084889339537,1
122.084889339537,0
122.583399139856,1
122.583399139856,0
122.927069128306,1
122.927069128306,0
122.958327275787,1
123.027069128306,0
123.239192400674,1
123.239192400674,0
123.421323361358,1
123.421323361358,0
123.50237313973,1
123.521323361358,0
123.537783648429,1
123.58584900864,2
123.621323361358,1
123.721323361358,0
123.901302177012,1
123.901302177012,0
124.206052013307,1
124.206052013307,0
124.33212199662,1
124.33212199662,0
124.48763122639,1
124.48763122639,0
124.695975786551,1
124.695975786551,0
125.154791637286,1
125.154791637286,0
125.205406328211,1
125.254791637286,0
125.262717409513,1
125.301836352109,2
125.346904927004,3
125.354791637286,2
125.454791637286,1
125.514290074719,2
125.547625230537,3
125.554791637286,2
125.654791637286,1
125.65748907816,2
125.754791637286,1
125.854791637286,0
125.977595166655,1
125.977595166655,0
126.682754153759,1
126.682754153759,0
126.690485726649,1
126.782754153759,0
127.052874420756,1
127.052874420756,0
127.396460174361,1
127.396460174361,0
127.741700948278,1
127.741700948278,0
127.76599286787,1
127.841700948278,0
128.351115858034,1
128.351115858034,0
128.412415381195,1
128.43419252701,2
128.451115858034,1
128.551115858034,0
128.780021643548,1
128.780021643548,0
128.980869584215,1
128.980869584215,0
129.309776148789,1
129.309776148789,0
129.529329918469,1
129.529329918469,0
129.54100185438,1
129.629329918469,0
130.358125954586,1
130.358125954586,0
130.4167899169,1
130.458125954586,0
130.503169812827,1
130.558125954586,0
130.587708491538,1
130.656590475798,2
130.658125954586,1
130.758125954586,0
130.939320095595,1
130.939320095595,0
130.965741889121,1
130.982020105318,2
130.986161628923,3
131.039320095595,2
131.139320095595,1
131.18894688448,2
131.239320095595,1
131.339320095595,0
131.85208651336,1
131.85208651336,0
131.854407269455,1
131.95208651336,0
132.131509708008,1
132.131509708008,0
132.579007109128,1
132.579007109128,0
132.963464287747,1
132.963464287747,0
134.002457061638,1
134.002457061638,0
134.085184531932,1
134.102457061638,0
134.389107150272,1
134.389107150272,0
134.609827286511,1
134.609827286511,0
134.659937835282,1
134.676460837955,2
134.709827286511,1
134.809827286511,0
134.856022457982,1
134.909827286511,0
135.02222439537,1
135.02222439537,0
135.239365828236,1
135.239365828236,0
136.187871774008,1
136.187871774008,0
136.575124693797,1
136.575124693797,0
137.098013836953,1
137.098013836953,0
137.33116680077,1
137.33116680077,0
137.434349267452,1
137.434349267452,0
137.495953223005,1
137.534349267452,0
138.310683467301,1
138.310683467301,0
138.462503289456,1
138.462503289456,0
138.528397567665,1
138.562503289456,0
139.056119761261,1
139.056119761261,0
139.801669930129,1
139.801669930129,0
139.971120430643,1
139.971120430643,0
140.680280478987,1
140.680280478987,0
140.99458972788,1
140.99458972788,0
141.395954418647,1
141.395954418647,0
141.562415040306,1
141.562415040306,0
141.811280951148,1
141.811280951148,0
142.119501066906,1
142.119501066906,0
142.637941432681,1
142.637941432681,0
142.810300067143,1
142.810300067143,0
142.89698839309,1
142.910300067143,0
143.362346303836,1
143.362346303836,0
143.83487172836,1
143.83487172836,0
143.888895782509,1
143.93487172836,0
144.129398764157,1
144.129398764157,0
144.50045938482,1
144.50045938482,0
144.503790696027,1
144.60045938482,0
145.418705028718,1
