bufferSize Network.nodeTx.traTx (#0 - General-0-20240516-22:33:41-4607),
25.66078731366,2
25.681070808601,2
25.715926912673,1
25.715926912673,2
25.781070808601,2
25.812372269222,1
25.812372269222,2
25.881070808601,2
25.905612557263,1
25.905612557263,2
25.970023028095,2
25.970023028095,3
25.97196100623,3
25.97196100623,4
25.981070808601,4
26.035473777793,3
26.035473777793,4
26.07136649938,4
26.07136649938,5
26.081070808601,5
26.181070808601,4
26.197270851106,3
26.197270851106,4
26.281070808601,4
26.305202870972,3
26.305202870972,4
26.33916934423,4
26.33916934423,5
26.3734293067,5
26.3734293067,6
26.381070808601,6
26.421792875359,5
26.421792875359,6
26.481070808601,6
26.518030380936,5
26.518030380936,6
26.581070808601,6
26.65632830159,5
26.65632830159,6
26.681070808601,6
26.712324408597,5
26.712324408597,6
26.781070808601,6
26.881070808601,5
26.923069169092,4
26.923069169092,5
26.937626566937,5
26.937626566937,6
26.948481276786,6
26.948481276786,7
26.981070808601,7
26.983903690011,6
26.983903690011,7
26.993595965469,7
26.993595965469,8
27.077984812728,8
27.077984812728,9
27.081070808601,9
27.121687614105,8
27.121687614105,9
27.181070808601,9
27.211060521936,8
27.211060521936,9
27.281070808601,9
27.291315720512,8
27.291315720512,9
27.376723694076,9
27.376723694076,10
27.380144035912,10
27.380144035912,11
27.381070808601,11
27.481070808601,10
27.48604497445,9
27.48604497445,10
27.581070808601,10
27.681070808601,9
27.781070808601,8
27.833298522378,7
27.833298522378,8
27.881070808601,8
27.938883483244,7
27.938883483244,8
27.977596492459,8
27.977596492459,9
27.981070808601,9
28.034057542571,8
28.034057542571,9
28.059065692069,9
28.059065692069,10
28.081070808601,10
28.181070808601,9
28.281070808601,8
28.285929091338,7
28.285929091338,8
28.301158453863,8
28.301158453863,9
28.346975742259,9
28.346975742259,10
28.357207803744,10
28.357207803744,11
28.381070808601,11
28.414453958887,10
28.414453958887,11
28.481070808601,11
28.581070808601,10
28.681070808601,9
28.781070808601,8
28.828234934938,7
28.828234934938,8
28.881070808601,8
28.981070808601,7
29.050726400661,6
29.050726400661,7
29.080882991983,7
29.080882991983,8
29.081070808601,8
29.181070808601,7
29.244972749776,6
29.244972749776,7
29.281070808601,7
29.321980435731,6
29.321980435731,7
29.381070808601,7
29.443682385265,6
29.443682385265,7
29.481070808601,7
29.503089735097,6
29.503089735097,7
29.51365099946,7
29.51365099946,8
29.52413918302,8
29.52413918302,9
29.581070808601,9
29.681070808601,8
29.776067396028,7
29.776067396028,8
29.781070808601,8
29.819501961622,7
29.819501961622,8
29.881070808601,8
29.944762714113,7
29.944762714113,8
29.981070808601,8
30.008108975885,7
30.008108975885,8
30.081070808601,8
30.181070808601,7
30.281070808601,6
30.381070808601,5
30.481070808601,4
30.581070808601,3
30.681070808601,2
30.684648027879,1
30.684648027879,2
30.781070808601,2
30.868621306387,1
30.868621306387,2
30.881070808601,2
30.884808315058,1
30.884808315058,2
30.981070808601,2
31.081070808601,1
31.119826044033,0
31.119826044033,1
31.181070808601,1
31.281070808601,0
31.322416925743,0
31.322416925743,1
31.322416925743,1
31.326245217031,0
31.326245217031,1
31.343977774546,1
31.343977774546,2
31.414969567268,2
31.414969567268,3
31.422416925743,3
31.51056620966,2
31.51056620966,3
31.522416925743,3
31.528820069848,2
31.528820069848,3
31.542038440809,3
31.542038440809,4
31.622416925743,4
31.69302078637,3
31.69302078637,4
31.722416925743,4
31.822416925743,3
31.881413675029,2
31.881413675029,3
31.922416925743,3
32.022416925743,2
32.081612324582,1
32.081612324582,2
32.122416925743,2
32.222416925743,1
32.246284234715,0
32.246284234715,1
32.299284522529,1
32.299284522529,2
32.322416925743,2
32.383472618702,1
32.383472618702,2
32.398551719721,2
32.398551719721,3
32.422416925743,3
32.45083872273,2
32.45083872273,3
32.454217401285,3
32.454217401285,4
32.461384939716,4
32.461384939716,5
32.522416925743,5
32.622416925743,4
32.722416925743,3
32.822416925743,2
32.866369623596,1
32.866369623596,2
32.922416925743,2
32.985913480224,1
32.985913480224,2
33.022416925743,2
33.032640736865,1
33.032640736865,2
33.09307064405,2
33.09307064405,3
33.122416925743,3
33.147556356864,2
33.147556356864,3
33.222416925743,3
33.275589777245,2
33.275589777245,3
33.280781032463,3
33.280781032463,4
33.322416925743,4
33.422416925743,3
33.482058306084,2
33.482058306084,3
33.522416925743,3
33.527549490563,2
33.527549490563,3
33.622416925743,3
33.722416925743,2
33.822416925743,1
33.898545549753,0
33.898545549753,1
33.900222326352,1
33.900222326352,2
33.922416925743,2
34.022416925743,1
34.093880050101,0
34.093880050101,1
34.120112981018,1
34.120112981018,2
34.12129130421,2
34.12129130421,3
34.122416925743,3
34.222416925743,2
34.266070712409,1
34.266070712409,2
34.310695994461,2
34.310695994461,3
34.322416925743,3
34.422416925743,2
34.423456925743,1
34.522416925743,1
34.599157169671,0
34.599157169671,1
34.722416925743,1
34.730087006073,0
34.730087006073,1
34.868716141275,1
34.868716141275,2
34.887545638797,2
34.887545638797,3
34.922416925743,3
34.929006893063,2
34.929006893063,3
35.002620003062,3
35.002620003062,4
35.069866054745,4
35.069866054745,5
35.075453060034,5
35.075453060034,6
35.116850952301,6
35.116850952301,7
35.122416925743,7
35.139164873111,6
35.139164873111,7
35.158947823857,7
35.158947823857,8
35.160817370899,8
35.160817370899,9
35.179569266019,9
35.179569266019,10
35.322416925743,10
35.33741053823,9
35.33741053823,10
35.399670272628,10
35.399670272628,11
35.425020843142,11
35.425020843142,12
35.522416925743,12
35.632623949186,11
35.632623949186,12
35.674989659322,12
35.674989659322,13
35.722416925743,13
35.922416925743,12
35.963444088163,11
35.963444088163,12
36.122416925743,12
36.226665974418,11
36.226665974418,12
36.32037984619,12
36.32037984619,13
36.322416925743,13
36.442259526524,12
